,pred,text,actual
0,KD SINGH,https t co pkf4mzpByj,Sharad Pawar
1,Sharad Pawar,Giving away one of 37 Laadli Media Awards for gender sensitive reporting and advertising With the winners afterwar https t co 2cjXzDPdr0,Shashi Tharoor
2,Barack Obama,RT It s a beautiful day on the South Side https t co PtoaFbww0s,Barack Obama
3,Sharad Pawar,than succumb to the hate and vitriol being spread by a section of society 3 3,Sharad Pawar
4,KD SINGH,https t co SJz49fQjXD,Sharad Pawar
5,Arvind Kejriwal,RT I want to challenge the BJP give us the EVMs which will be used in Gujarat polls for 3 hrs you won t win a single booth,Manish Sisodia
6,Arun Jaitley,Chairing the 14th meeting of GST Council in Srinagar May 18 2017 https t co negK35FacT,Arun Jaitley
7,Sushma Swaraj,RT Maybe this is why we read and why in moments of darkness we return to books to find words for what we already know Alberto M,Shashi Tharoor
8,KD SINGH,https t co ZcQjQojV6f,Narendra Modi
9,KD SINGH,Absolutely agree https t co K3pIrbT9Ne,Narendra Modi
10,digvijaya singh,RT My two cents on the unnecessary controversy about Imam Barkati He is not associated with TMC Didi never uses lal batti Why,Derek O'Brien
11,Akhilesh Yadav,Take what matters with you https t co E0hXWSu1q3 https t co KJJdkE8DML,Barack Obama
12,Donald J. Trump,She needs to be lauded for what she has said and for all of us to stand by her and all other peace loving Indians 2 3,Sharad Pawar
13,Omar Abdullah,RT Sh Chauhan s family is aware of the case They can file an appeal in higher court 2 n,Sushma Swaraj
14,KD SINGH,2 2 NobelPrize2014,KD SINGH
15,Donald J. Trump,India remains committed to strengthening our special relationship with Iran,Narendra Modi
16,Barack Obama,LIVE President Obama is speaking at the 71st Session of the United Nations General Assembly https t co J8cm9QquER UNGA,Barack Obama
17,Donald J. Trump,Trump Russia story was an excuse used by the Democrats as justification for losing the election Perhaps Trump just ran a great campaign,Donald J. Trump
18,Arun Jaitley,RT Hon ble Minister of Finance Sri Arun Jaitley arrives in Nepal Cd A Sri Vinay Kumar receives at Tribhuvan International A,Arun Jaitley
19,Akhilesh Yadav,Launch of South Asia Satellite is a first of its kind project with several benefits for our region History was created with today s launch,Narendra Modi
20,KD SINGH,2 2 2 http t co H9zC4tRsXg,KD SINGH
21,Manish Sisodia,RT World class training for Delhi govt school Principals at Delhi govt at work https t co Q2Lwwf7Ysz,Arvind Kejriwal
22,KD SINGH,GST l l,Arun Jaitley
23,KD SINGH,1 2 23 40 Nepal,KD SINGH
24,Narendra Modi,Congratulations to every trader producer amp consumer of goods amp services in the country on the passage of historic GST Laws,Arun Jaitley
25,Hillary Clinton,RT INC Police torture must stop It s time for every thinking Indian to stand up and raise our voices against t,Shashi Tharoor
26,Sharad Pawar,Pune meet with the family of martyred shahid Saurabh Farate https t co N36fgO2PfW,Sharad Pawar
27,Derek O'Brien,Football jersey number 110 for Arun Jaitley please My latest Facebook post also on Feedback welcome gt gt https t co FlAqhr0iNK,Derek O'Brien
28,Barack Obama,The reason for the plan negotiated between the Republicans and Democrats is that we need 60 votes in the Senate which are not there We,Donald J. Trump
29,KD SINGH,http t co sX3n9a9fql,KD SINGH
30,KD SINGH,London,Sushma Swaraj
31,Arun Jaitley,Friday morning reading extracts from recently released National Health Policy 2017 Numbers amp reality say full on HealthReformsInBengal,Derek O'Brien
32,KD SINGH,https t co 07YSLJY4Wn,digvijaya singh
33,Hillary Clinton,Grief when it comes is nothing like what we expect it to be Joan Didion,Derek O'Brien
34,Akhilesh Yadav,LARGEST SINGLE PARTY Vs A COMBINATION WITH MAJORITY SUPPORT https t co thsVZTuGGq,Arun Jaitley
35,Hillary Clinton,We don t have to accept a dark and divisive vision for America Tomorrow you can vote for a hopeful inclusive b https t co AequOcpVzQ,Hillary Clinton
36,Sushma Swaraj,RT Thanks Mam I get call from Indian embassy Thanks for supporting us here,Sushma Swaraj
37,Manish Sisodia,RT,digvijaya singh
38,Salman Anees Soz,RT Not the first time that have used THE word Found it again while going through his work India cc,Shashi Tharoor
39,Omar Abdullah,has taken up this matter with Frankfurt Airport authorities The matter has been referred to the Polic https t co 5BEJ6BbdLB,Sushma Swaraj
40,Akhilesh Yadav,Muslim man lynched in UP s Bulandshahr allegedly by UP CM s Hindu Yuva Vahini members savages https t co ryBw29KU7P,Salman Anees Soz
41,Donald J. Trump,I have been asking Director Comey amp others from the beginning of my administration to find the LEAKERS in the intelligence community,Donald J. Trump
42,Barack Obama,This is no accident we re making a comeback because together we ve fought hard to support American families https t co LTk7SiTexP,Barack Obama
43,KD SINGH,https t co 4vKCTYO4Sz,Sharad Pawar
44,KD SINGH,BuyAmericanHireAmerican https t co JPEXQTVR1E,Donald J. Trump
45,Akhilesh Yadav,At Mannkameshwar Upvan https t co YVe3f3VCWx,Akhilesh Yadav
46,Barack Obama,President Obama lays out just a few of the ways in which Obamacare has helped millions of Americans https t co qeqHRLz0ID,Barack Obama
47,Arvind Kejriwal,Great job bringing this to light Very interesting data Instead of a Modi wave Delhi MCD was a case of a Kejriwal https t co 30pdaFIr9M,Salman Anees Soz
48,KD SINGH,kynjing Chill,Derek O'Brien
49,Akhilesh Yadav,These are more than statistics they re American lives at risk because this administration willfully ignores the sc https t co mTujrQOz65,Hillary Clinton
50,Sushma Swaraj,RT Algerian co assured d Embassy that remaining 4 Indian nationals to be repatriated next week Embassy in regular contact,Sushma Swaraj
51,Manish Sisodia,RT Warm welcome in Boston this morning https t co mEswRa0VBE,Hillary Clinton
52,Manish Sisodia,RT Inauguration of an English TV news channel happened by taking a supari against me https t c,digvijaya singh
53,KD SINGH,100 This one is about UP elections not electricity,Salman Anees Soz
54,Arvind Kejriwal,RT chadha Jethmalani gearing up to cross examine Jaitley at 2pm on 15th and 17th May 2017 at Delhi HC Action begins https t co,Arvind Kejriwal
55,Barack Obama,Climate change s effects are devastating Denying the science behind it does nothing to help https t co Rww40wwgD9 ActOnClimate,Barack Obama
56,KD SINGH,nan,digvijaya singh
57,Sharad Pawar,Inaugurating meeting of 88 booth presidents in ChenkalPanchayat Gearing up the organisation w LokSabha e https t co fH7wMPBjvL,Shashi Tharoor
58,KD SINGH,Good Evening to all,KD SINGH
59,Manish Sisodia,RT Aided by crony channels BJP should stop peddling lies Indian Govt refused to participate before Int Arbitration Council,digvijaya singh
60,Sushma Swaraj,RT sood Ma am Mr Udit Sood has been contacted by the Indian Consulate Consul General himself spoke t,Sushma Swaraj
61,KD SINGH,4 4 AsianGames2014 Asiad2014,KD SINGH
62,Shashi Tharoor,The Hindutva extremists engineered by the fascist RSS and enabled by PM Modi will destroy India s reputation aroun https t co vtKP8WVSF6,Salman Anees Soz
63,Sushma Swaraj,RT Our PM not responsible for anything Farmer s distress failure of demonetisation unemployment all created,Arvind Kejriwal
64,Hillary Clinton,RT en BREAKING Emmanuel Macron elected president of France with 65 1 of the vote https t co 4Vod8NNBm4,Arvind Kejriwal
65,Hillary Clinton,It s going to be close and we need you on this team Confirm where to vote today https t co jfd3CXLD1s,Hillary Clinton
66,Manish Sisodia,RT 3Fa,digvijaya singh
67,Sushma Swaraj,Yes we will help you Plz tell me what help do you want https t co ObOJ0etfwH,Sushma Swaraj
68,Hillary Clinton,RT By conferring a doctorate on Erdogan Jamia is celebrating a regime that attacks academic freedom https t co cDVG41q,Salman Anees Soz
69,Arun Jaitley,RT india Hon ble FM Shri along with Minister Liam Fox and the Indian business delegation opening https t co,Arun Jaitley
70,KD SINGH,nan,Narendra Modi
71,Shashi Tharoor,An aam aadmi s favourite article of the season on why Pakistan exports more mangoes than India https t co bVvCeidwbJ,Shashi Tharoor
72,Omar Abdullah,We are a united family of South Asian countries united in our pursuit of peace progress amp prosperity of our region amp the entire humankind,Narendra Modi
73,Arun Jaitley,RT Raksha Mantri held talks with Japan Defense Minister H E Tomomi Inada at Japan Ministry of Defense today St,Arun Jaitley
74,Arun Jaitley,Shocked at sudden demise of union environment minister Anil Dave ji May his soul rest in peace Heartfelt condolences to bereaved family,Arvind Kejriwal
75,Hillary Clinton,Yes that s why amp her brother didn t allow protestors to alter the schedule of the Anantnag by poll https t co SxQy0goRd3,Omar Abdullah
76,Arun Jaitley,RT Watch FM Shri s reply during discussion on Union Budget General 2017 18 https t co JuFYXdLrpv,Arun Jaitley
77,Akhilesh Yadav,Today s programs at the Party Office https t co KjSOHGE25v,Akhilesh Yadav
