,text,pred,actual
0,https t co pkf4mzpByj,Barack Obama,Sharad Pawar
1,Giving away one of 37 Laadli Media Awards for gender sensitive reporting and advertising With the winners afterwar https t co 2cjXzDPdr0,Shashi Tharoor,Shashi Tharoor
2,RT It s a beautiful day on the South Side https t co PtoaFbww0s,Narendra Modi,Barack Obama
3,than succumb to the hate and vitriol being spread by a section of society 3 3,Sharad Pawar,Sharad Pawar
4,https t co SJz49fQjXD,Barack Obama,Sharad Pawar
5,RT I want to challenge the BJP give us the EVMs which will be used in Gujarat polls for 3 hrs you won t win a single booth,Arvind Kejriwal,Manish Sisodia
6,Chairing the 14th meeting of GST Council in Srinagar May 18 2017 https t co negK35FacT,Arun Jaitley,Arun Jaitley
7,RT Maybe this is why we read and why in moments of darkness we return to books to find words for what we already know Alberto M,Barack Obama,Shashi Tharoor
8,https t co ZcQjQojV6f,Barack Obama,Narendra Modi
9,Absolutely agree https t co K3pIrbT9Ne,Omar Abdullah,Narendra Modi
10,RT My two cents on the unnecessary controversy about Imam Barkati He is not associated with TMC Didi never uses lal batti Why,Derek O'Brien,Derek O'Brien
11,Take what matters with you https t co E0hXWSu1q3 https t co KJJdkE8DML,Barack Obama,Barack Obama
12,She needs to be lauded for what she has said and for all of us to stand by her and all other peace loving Indians 2 3,Hillary Clinton,Sharad Pawar
13,RT Sh Chauhan s family is aware of the case They can file an appeal in higher court 2 n,Sushma Swaraj,Sushma Swaraj
14,2 2 NobelPrize2014,KD SINGH,KD SINGH
15,India remains committed to strengthening our special relationship with Iran,Sushma Swaraj,Narendra Modi
16,LIVE President Obama is speaking at the 71st Session of the United Nations General Assembly https t co J8cm9QquER UNGA,Barack Obama,Barack Obama
17,Trump Russia story was an excuse used by the Democrats as justification for losing the election Perhaps Trump just ran a great campaign,Donald J. Trump,Donald J. Trump
18,RT Hon ble Minister of Finance Sri Arun Jaitley arrives in Nepal Cd A Sri Vinay Kumar receives at Tribhuvan International A,Arun Jaitley,Arun Jaitley
19,Launch of South Asia Satellite is a first of its kind project with several benefits for our region History was created with today s launch,Narendra Modi,Narendra Modi
20,2 2 2 http t co H9zC4tRsXg,KD SINGH,KD SINGH
21,RT World class training for Delhi govt school Principals at Delhi govt at work https t co Q2Lwwf7Ysz,Manish Sisodia,Arvind Kejriwal
22,GST l l,Derek O'Brien,Arun Jaitley
23,1 2 23 40 Nepal,KD SINGH,KD SINGH
24,Congratulations to every trader producer amp consumer of goods amp services in the country on the passage of historic GST Laws,Arun Jaitley,Arun Jaitley
25,RT INC Police torture must stop It s time for every thinking Indian to stand up and raise our voices against t,Hillary Clinton,Shashi Tharoor
26,Pune meet with the family of martyred shahid Saurabh Farate https t co N36fgO2PfW,Sharad Pawar,Sharad Pawar
27,Football jersey number 110 for Arun Jaitley please My latest Facebook post also on Feedback welcome gt gt https t co FlAqhr0iNK,Derek O'Brien,Derek O'Brien
28,The reason for the plan negotiated between the Republicans and Democrats is that we need 60 votes in the Senate which are not there We,Barack Obama,Donald J. Trump
29,http t co sX3n9a9fql,KD SINGH,KD SINGH
30,London,Arun Jaitley,Sushma Swaraj
31,Friday morning reading extracts from recently released National Health Policy 2017 Numbers amp reality say full on HealthReformsInBengal,Arun Jaitley,Derek O'Brien
32,https t co 07YSLJY4Wn,Barack Obama,digvijaya singh
33,Grief when it comes is nothing like what we expect it to be Joan Didion,Donald J. Trump,Derek O'Brien
34,LARGEST SINGLE PARTY Vs A COMBINATION WITH MAJORITY SUPPORT https t co thsVZTuGGq,Akhilesh Yadav,Arun Jaitley
35,We don t have to accept a dark and divisive vision for America Tomorrow you can vote for a hopeful inclusive b https t co AequOcpVzQ,Hillary Clinton,Hillary Clinton
36,RT Thanks Mam I get call from Indian embassy Thanks for supporting us here,Derek O'Brien,Sushma Swaraj
37,RT,Manish Sisodia,digvijaya singh
38,RT Not the first time that have used THE word Found it again while going through his work India cc,Donald J. Trump,Shashi Tharoor
39,has taken up this matter with Frankfurt Airport authorities The matter has been referred to the Polic https t co 5BEJ6BbdLB,Sushma Swaraj,Sushma Swaraj
40,Muslim man lynched in UP s Bulandshahr allegedly by UP CM s Hindu Yuva Vahini members savages https t co ryBw29KU7P,Salman Anees Soz,Salman Anees Soz
41,I have been asking Director Comey amp others from the beginning of my administration to find the LEAKERS in the intelligence community,Donald J. Trump,Donald J. Trump
42,This is no accident we re making a comeback because together we ve fought hard to support American families https t co LTk7SiTexP,Hillary Clinton,Barack Obama
43,https t co 4vKCTYO4Sz,Barack Obama,Sharad Pawar
44,BuyAmericanHireAmerican https t co JPEXQTVR1E,Akhilesh Yadav,Donald J. Trump
45,At Mannkameshwar Upvan https t co YVe3f3VCWx,Akhilesh Yadav,Akhilesh Yadav
46,President Obama lays out just a few of the ways in which Obamacare has helped millions of Americans https t co qeqHRLz0ID,Barack Obama,Barack Obama
47,Great job bringing this to light Very interesting data Instead of a Modi wave Delhi MCD was a case of a Kejriwal https t co 30pdaFIr9M,Salman Anees Soz,Salman Anees Soz
48,kynjing Chill,KD SINGH,Derek O'Brien
49,These are more than statistics they re American lives at risk because this administration willfully ignores the sc https t co mTujrQOz65,Barack Obama,Hillary Clinton
50,RT Algerian co assured d Embassy that remaining 4 Indian nationals to be repatriated next week Embassy in regular contact,Sushma Swaraj,Sushma Swaraj
51,RT Warm welcome in Boston this morning https t co mEswRa0VBE,Sushma Swaraj,Hillary Clinton
52,RT Inauguration of an English TV news channel happened by taking a supari against me https t c,Akhilesh Yadav,digvijaya singh
53,100 This one is about UP elections not electricity,Derek O'Brien,Salman Anees Soz
54,RT chadha Jethmalani gearing up to cross examine Jaitley at 2pm on 15th and 17th May 2017 at Delhi HC Action begins https t co,Arun Jaitley,Arvind Kejriwal
55,Climate change s effects are devastating Denying the science behind it does nothing to help https t co Rww40wwgD9 ActOnClimate,Barack Obama,Barack Obama
56,nan,Manish Sisodia,digvijaya singh
57,Inaugurating meeting of 88 booth presidents in ChenkalPanchayat Gearing up the organisation w LokSabha e https t co fH7wMPBjvL,Arun Jaitley,Shashi Tharoor
58,Good Evening to all,KD SINGH,KD SINGH
59,RT Aided by crony channels BJP should stop peddling lies Indian Govt refused to participate before Int Arbitration Council,Salman Anees Soz,digvijaya singh
60,RT sood Ma am Mr Udit Sood has been contacted by the Indian Consulate Consul General himself spoke t,Sushma Swaraj,Sushma Swaraj
61,4 4 AsianGames2014 Asiad2014,KD SINGH,KD SINGH
62,The Hindutva extremists engineered by the fascist RSS and enabled by PM Modi will destroy India s reputation aroun https t co vtKP8WVSF6,Salman Anees Soz,Salman Anees Soz
63,RT Our PM not responsible for anything Farmer s distress failure of demonetisation unemployment all created,Salman Anees Soz,Arvind Kejriwal
64,RT en BREAKING Emmanuel Macron elected president of France with 65 1 of the vote https t co 4Vod8NNBm4,Hillary Clinton,Arvind Kejriwal
65,It s going to be close and we need you on this team Confirm where to vote today https t co jfd3CXLD1s,Hillary Clinton,Hillary Clinton
66,RT 3Fa,Manish Sisodia,digvijaya singh
67,Yes we will help you Plz tell me what help do you want https t co ObOJ0etfwH,Sushma Swaraj,Sushma Swaraj
68,RT By conferring a doctorate on Erdogan Jamia is celebrating a regime that attacks academic freedom https t co cDVG41q,Shashi Tharoor,Salman Anees Soz
69,RT india Hon ble FM Shri along with Minister Liam Fox and the Indian business delegation opening https t co,Arun Jaitley,Arun Jaitley
70,nan,Manish Sisodia,Narendra Modi
71,An aam aadmi s favourite article of the season on why Pakistan exports more mangoes than India https t co bVvCeidwbJ,digvijaya singh,Shashi Tharoor
72,We are a united family of South Asian countries united in our pursuit of peace progress amp prosperity of our region amp the entire humankind,Narendra Modi,Narendra Modi
73,RT Raksha Mantri held talks with Japan Defense Minister H E Tomomi Inada at Japan Ministry of Defense today St,Arun Jaitley,Arun Jaitley
74,Shocked at sudden demise of union environment minister Anil Dave ji May his soul rest in peace Heartfelt condolences to bereaved family,Arun Jaitley,Arvind Kejriwal
75,Yes that s why amp her brother didn t allow protestors to alter the schedule of the Anantnag by poll https t co SxQy0goRd3,Omar Abdullah,Omar Abdullah
76,RT Watch FM Shri s reply during discussion on Union Budget General 2017 18 https t co JuFYXdLrpv,Arun Jaitley,Arun Jaitley
77,Today s programs at the Party Office https t co KjSOHGE25v,Akhilesh Yadav,Akhilesh Yadav
78,Happy Mother s Day to you amp all mothers https t co nHBpEv49J9,Hillary Clinton,Shashi Tharoor
79,Army gives clean chit to its officer in the human shield case It sets a terrible precedent Sense of injustice in Kashmir will deepen,Omar Abdullah,Salman Anees Soz
80,Watch Hillary deliver remarks on the election from New York City https t co MTRLzjN42x,Hillary Clinton,Hillary Clinton
81,RT A group of 44 Delhi govt school principals have gone to IIM Ahmedabad for a 10 day school leadership program,Manish Sisodia,Manish Sisodia
82,https t co 2yBYw4LYji,Barack Obama,Sharad Pawar
83,Now what will some of those cheerleaders who were once journos say https t co LLBPv9z3MM,Hillary Clinton,Derek O'Brien
84,RT Govt launches Operation Clean Money Sounds more like Clean out your Money,digvijaya singh,digvijaya singh
85,Thank you jenab Please ensure the safety of Kashmiris inc students in Kashmir as well The state government has https t co jLc7y45OA2,Omar Abdullah,Omar Abdullah
86,RT Chicago approves new plan to hide illegal immigrants from the feds plus give them access to city services https t co,Barack Obama,Donald J. Trump
87,Today s meetings The membership drive is on full speed Grateful to the party workers for their hard work to make https t co 4A1VccWUxo,Akhilesh Yadav,Akhilesh Yadav
88,Congratulations to JohnDaly on his big win yesterday John is a great guy who never gave up and now a winner again,Donald J. Trump,Donald J. Trump
89,RT 3 years of broken promises non performance amp betrayal of a mandate,Omar Abdullah,digvijaya singh
90,https t co 6pYGW2sdVa,Barack Obama,Akhilesh Yadav
91,Oh lord She is a doctor herself Lives and works in NYC Ok,Derek O'Brien,Derek O'Brien
92,Posters threaten Kashmiris in UP BJP Ministers threaten Kashmiris with bullets BJP poaches MLAs to win MLC seat amp clings on,Arun Jaitley,Omar Abdullah
93,I want to thank Tim Kaine and Anne Holton for being our partners on this journey Hillary,Hillary Clinton,Hillary Clinton
94,Birthday wishes to Haryana CM May he lead a long life full of good health,Arun Jaitley,Narendra Modi
95,RT Also retired military and diplomatic personnel from India Pakistan besides musicians writers politicians journalists,KD SINGH,Salman Anees Soz
96,RT Delhi water crisis Haryana not releasing Del s share I just spoke to LG n requested him to seek PMO s intervention,Manish Sisodia,Arvind Kejriwal
97,I pay homage to Swami Ramanand Tirth who led struggle against the Nizam amp Razakars amp freed the State from the shackles of Asafzahi 2 2,Omar Abdullah,Sharad Pawar
98,This is akin to Pakistani channels talking to Deve Gowda to discuss developments in India Irrelevant no matter how https t co EQebyuYPQu,Salman Anees Soz,Omar Abdullah
99,1 3,KD SINGH,KD SINGH
100,RT Launch of the South Asia satellite historic moment for the world it ushers in a new era of regional cooperation Bhutan PM,Narendra Modi,Narendra Modi
101,RT Interview We need to reconnect with the people https t co jZQlJC65NL,Barack Obama,Manish Sisodia
102,RT INC Our view of nationalism is inclusive and accomodative taking the entire nation along with us,Shashi Tharoor,Shashi Tharoor
103,RT I m told BJP national leadership is in a complete tizzy right now after AAP s EVM demo Pics of demo are playing on ever,Arvind Kejriwal,Arvind Kejriwal
104,Help keep the pressure on Senate leaders to give Judge Garland a fair hearing before their next recess https t co lkLz4yidaw DoYourJob,Barack Obama,Barack Obama
105,Today s meetings https t co lcr6AXmehj,Akhilesh Yadav,Akhilesh Yadav
106,Communities are already experiencing the effects of climate change we can t afford not to act Take a look https t co sEjVzKqhsw,Barack Obama,Barack Obama
107,The Russia Trump collusion story is a total hoax when will this taxpayer funded charade end,Donald J. Trump,Donald J. Trump
108,We are making tremendous progress with the V A There has never been so much done so quickly and we have just started We love our VETS,Hillary Clinton,Donald J. Trump
109,RT Institutional Delivery in health centres n hospitals has increased frm 65 to 90 in the past 6 years Thanks to Didi H,Derek O'Brien,Derek O'Brien
110,RT DGNewsClips https t co vadO3,Manish Sisodia,Manish Sisodia
111,RT Just read the painfully constructed EC statement it sermons a lot but is sadly silent on the Hackathon challenge amp ea,Arvind Kejriwal,Arvind Kejriwal
112,With threats amp hate crimes on rise we shouldn t have to tell to do his part He must step up amp speak out https t co QKKyXyuqNM,Hillary Clinton,Hillary Clinton
113,RT 16000 https,Manish Sisodia,Manish Sisodia
114,nan,Manish Sisodia,Sushma Swaraj
115,Tomorrow we have the chance to stand up for the America we believe in RT this if you re voting https t co 7T7UqlIvGt,Hillary Clinton,Hillary Clinton
116,RT Election Commission is in fix now Either way today s demo by Saurabh Bhardwaj has raised more questions on EVMTampering,Arvind Kejriwal,Arvind Kejriwal
117,Delivered a lecture at the South Indian Seminar Minority Department NCP Kochi 1 4 https t co 3wXYOHm3go,Sharad Pawar,Sharad Pawar
118,Help rangers protect the elephants Go to https t co pqxZttyOGh EarthDay Tribeca2017,Hillary Clinton,Hillary Clinton
119,Good Evening 2 all,KD SINGH,KD SINGH
120,Will be interviewed by on at 9 00 P M Saturday night Enjoy,Donald J. Trump,Donald J. Trump
121,RT i k h i l l Wow India is great,digvijaya singh,Sushma Swaraj
122,http t co gmBJFYYmZB,KD SINGH,KD SINGH
123,There is no justification regardless of their motives for the burning of schools amp the denial of education to our younger generation,Manish Sisodia,Omar Abdullah
124,Congratulations to Emmanuel Macron on his big win today as the next President of France I look very much forward to working with him,Donald J. Trump,Donald J. Trump
125,On International Women s Day and I are inspired by all of you who embrace your power to drive chang https t co Er9mIQlmgr,Akhilesh Yadav,Barack Obama
126,Addressed seminar on role of civil society in disaster management organised by amp SEEDS Good to se https t co B8GbQ9Ofrw,Arun Jaitley,Shashi Tharoor
127,Birthday wishes to ji a valued colleague who has devoted his life in service of the poor amp marginalised I pray for his long life,Arun Jaitley,Narendra Modi
128,RT Jalpaiguri WB O ve blood urgent for Pregnant Lady at Zilla Hospital Pls Call 7384400803 Mar 13,Derek O'Brien,Derek O'Brien
129,Where have you applied https t co Xrr8XuQ8m3,Hillary Clinton,Sushma Swaraj
130,You would be happy to know that capacity addition in solar energy in FY17 stands at the highest ever at 81,Akhilesh Yadav,Narendra Modi
131,UP EVMs AAP 1,Arvind Kejriwal,Manish Sisodia
132,RT During that period someone named was Education Minister of Assam https t co EsNhjMzPlw,Arun Jaitley,Salman Anees Soz
133,SouthAsiaSatellite will enhance digital cooperation help in developing joint strategy for countering disasters in the South Asia region,Narendra Modi,Arun Jaitley
134,RT Watch LIVE Special AICC Press Briefing 3FailedYears https t co xgNeqachz8 amp https t co KpLdaK4GOy,digvijaya singh,digvijaya singh
135,RT If reports of EC developing cold feet on hackathon are true then this will raise serious questions on the outcome of rece,Arvind Kejriwal,Arvind Kejriwal
136,Lord Ganesha God of Wisdom amp Intellect may bring health happiness and ward off evils and odds from lives of all https t co 9qT7gFRCo4,Arun Jaitley,Sharad Pawar
137,https t co XJVF6SgF8W,Barack Obama,Manish Sisodia
138,Tomorrow the choice you face when you step into that voting booth could not be more clear and could not be more serious,Hillary Clinton,Hillary Clinton
139,Stronger together https t co 9TkaJrjW0a,Hillary Clinton,Hillary Clinton
140,RT Behind s Delhi assembly EVM show Two months of preparation 25 dummy runs https t co NRboeI4KsD,Arvind Kejriwal,Arvind Kejriwal
141,Indians abroad All such calls are fake Plz report such cases to Indian mission They will follow up with the Pol https t co TLNj2ZMlep,Sushma Swaraj,Sushma Swaraj
142,RT 3 12 ISI 3FailedYears,digvijaya singh,digvijaya singh
143,2 4 Marykom,KD SINGH,KD SINGH
144,RT Chelsea Clinton on I am fiercely ridiculously proud to be her daughter https t co 72UKFDqNWE,Hillary Clinton,Hillary Clinton
145,I will ask Indian Embassy in Netherlands to extend all help Plz do not worry https t co uaYW8X41LQ,Sushma Swaraj,Sushma Swaraj
146,RT Congratulations Venkaiah Ji I am sure you will give your best amp contribute towards creating futuristic cities https t,Narendra Modi,Sushma Swaraj
147,RT Space technology will touch the lives of our people in the region PM,Narendra Modi,Narendra Modi
148,This is not the outcome we wanted I m sorry we did not win this election for the values we share and the vision we hold for our country,Hillary Clinton,Hillary Clinton
149,Thanks singh Appreciate your decency Wish there was more of it in the media https t co CTMbZNcTsK,Derek O'Brien,Shashi Tharoor
150,RT Our series on GujaratAfterModi continues Industry is on auto pilot but job creation isn t great via https t,Salman Anees Soz,Salman Anees Soz
